ring_id,abuse_pattern_type,n_accounts,generation_seed,ring_base_timestamp,shared_devices,ring_merchant,ring_merchants,shared_ip,base_amount,ring_start_timestamp,linking_ip,linking_instrument,ring_customer_ids
RING_A_0022,pattern_a_shared_device,5,480877,2024-07-29T15:32:00,['DEV_00010185'],MER_00001011,,,,,,,
RING_A_0023,pattern_a_shared_device,6,355046,2024-04-04T22:15:29,['DEV_00002888'],MER_00000735,,,,,,,
RING_A_0024,pattern_a_shared_device,6,11399,2023-02-12T21:41:27,['DEV_00007122'],MER_00000034,,,,,,,
RING_A_0025,pattern_a_shared_device,8,539895,2024-04-09T17:52:04,['DEV_00008442'],MER_00000310,,,,,,,
RING_A_0026,pattern_a_shared_device,8,925075,2023-11-20T13:13:37,['DEV_00011107'],MER_00000909,,,,,,,
RING_A_0027,pattern_a_shared_device,6,784464,2023-05-28T06:48:02,['DEV_00004760'],MER_00000104,,,,,,,
RING_A_0028,pattern_a_shared_device,3,468900,2024-09-22T12:07:01,['DEV_00001888'],MER_00000744,,,,,,,
RING_A_0029,pattern_a_shared_device,3,28,2024-05-14T10:59:59,['DEV_00010210'],MER_00000092,,,,,,,
RING_A_0030,pattern_a_shared_device,5,148982,2023-07-28T10:52:41,['DEV_00002037'],MER_00000139,,,,,,,
RING_A_0031,pattern_a_shared_device,7,363276,2024-06-24T17:16:53,['DEV_00005212'],MER_00000553,,,,,,,
RING_A_0032,pattern_a_shared_device,5,404670,2024-02-18T07:39:29,['DEV_00001778'],MER_00000975,,,,,,,
RING_A_0033,pattern_a_shared_device,7,90500,2023-01-13T05:20:50,['DEV_00009783'],MER_00000041,,,,,,,
RING_A_0034,pattern_a_shared_device,6,598214,2024-08-04T07:23:26,['DEV_00010066'],MER_00001075,,,,,,,
RING_A_0035,pattern_a_shared_device,4,914429,2024-08-16T09:49:12,['DEV_00010278'],MER_00000809,,,,,,,
RING_A_0036,pattern_a_shared_device,5,919552,2023-12-30T19:09:57,['DEV_00006605'],MER_00000524,,,,,,,
RING_A_0037,pattern_a_shared_device,4,947724,2024-11-06T17:18:01,['DEV_00005324'],MER_00000888,,,,,,,
RING_A_0038,pattern_a_shared_device,5,381758,2023-07-02T16:26:49,['DEV_00004035'],MER_00000162,,,,,,,
RING_A_0039,pattern_a_shared_device,4,932873,2023-02-25T21:55:33,['DEV_00005178'],MER_00000584,,,,,,,
RING_A_0040,pattern_a_shared_device,4,897915,2024-04-25T15:33:57,['DEV_00006787'],MER_00000244,,,,,,,
RING_A_0041,pattern_a_shared_device,4,66287,2024-11-27T21:28:28,['DEV_00002879'],MER_00000058,,,,,,,
RING_A_0042,pattern_a_shared_device,7,633955,2023-08-01T12:24:44,['DEV_00009845'],MER_00000297,,,,,,,
RING_A_0043,pattern_a_shared_device,3,628416,2023-08-10T12:44:11,['DEV_00003898'],MER_00000746,,,,,,,
RING_A_0044,pattern_a_shared_device,5,229061,2023-08-02T02:12:07,['DEV_00008755'],MER_00000864,,,,,,,
RING_A_0045,pattern_a_shared_device,8,377210,2023-07-19T18:31:54,['DEV_00008193'],MER_00000877,,,,,,,
RING_A_0046,pattern_a_shared_device,6,216501,2024-03-18T23:24:54,['DEV_00007251'],MER_00000944,,,,,,,
RING_A_0047,pattern_a_shared_device,6,334747,2023-03-04T14:21:36,['DEV_00004144'],MER_00000089,,,,,,,
RING_A_0048,pattern_a_shared_device,8,894311,2023-09-08T20:15:28,['DEV_00010248'],MER_00000979,,,,,,,
RING_A_0049,pattern_a_shared_device,3,374246,2024-05-21T08:20:15,['DEV_00008277'],MER_00000284,,,,,,,
RING_A_0050,pattern_a_shared_device,6,475500,2023-03-13T15:55:52,['DEV_00007107'],MER_00000578,,,,,,,
RING_A_0051,pattern_a_shared_device,6,737003,2023-04-15T19:18:43,['DEV_00001693'],MER_00000308,,,,,,,
RING_A_0052,pattern_a_shared_device,6,447793,2023-06-12T08:05:04,['DEV_00012999'],MER_00001070,,,,,,,
RING_A_0053,pattern_a_shared_device,6,482850,2024-08-20T11:02:22,['DEV_00000914'],MER_00000917,,,,,,,
RING_A_0054,pattern_a_shared_device,5,338132,2024-01-11T02:36:23,['DEV_00012253'],MER_00000717,,,,,,,
RING_A_0055,pattern_a_shared_device,4,433050,2023-06-23T14:48:44,['DEV_00005843'],MER_00000828,,,,,,,
RING_A_0056,pattern_a_shared_device,3,797082,2023-09-03T04:27:55,['DEV_00008919'],MER_00001009,,,,,,,
RING_A_0057,pattern_a_shared_device,4,953930,2024-09-14T02:16:36,['DEV_00011397'],MER_00000166,,,,,,,
RING_A_0058,pattern_a_shared_device,3,622887,2023-05-13T05:18:32,['DEV_00012319'],MER_00000066,,,,,,,
RING_A_0059,pattern_a_shared_device,7,431909,2024-12-08T08:56:01,['DEV_00001685'],MER_00000644,,,,,,,
RING_B_0000,pattern_b_cross_merchant,10,642463,2023-05-10T21:36:50,,,"['MER_00000439', 'MER_00000328', 'MER_00000341']",IP_00001532,3058.42,,,,
RING_B_0001,pattern_b_cross_merchant,9,72993,2024-12-12T07:56:21,,,"['MER_00000303', 'MER_00000586', 'MER_00000249']",IP_00007422,4694.9,,,,
RING_B_0002,pattern_b_cross_merchant,8,681515,2023-11-16T18:54:24,,,"['MER_00000048', 'MER_00000009', 'MER_00000835']",IP_00008826,3634.7,,,,
RING_B_0003,pattern_b_cross_merchant,4,676049,2024-09-29T17:01:20,,,"['MER_00000787', 'MER_00000070', 'MER_00000127']",IP_00008260,3357.73,,,,
RING_B_0004,pattern_b_cross_merchant,10,961030,2023-11-07T09:37:09,,,"['MER_00000954', 'MER_00001099', 'MER_00000904']",IP_00004586,4795.62,,,,
RING_B_0005,pattern_b_cross_merchant,8,485392,2024-10-13T07:52:31,,,"['MER_00000536', 'MER_00000594', 'MER_00001078']",IP_00004111,460.64,,,,
RING_B_0006,pattern_b_cross_merchant,8,481426,2023-12-29T13:49:44,,,"['MER_00000209', 'MER_00000934', 'MER_00000127']",IP_00004498,5984.82,,,,
RING_B_0007,pattern_b_cross_merchant,5,858324,2023-11-08T09:20:20,,,"['MER_00000876', 'MER_00000625', 'MER_00000890']",IP_00006383,1457.91,,,,
RING_B_0008,pattern_b_cross_merchant,4,341265,2023-10-05T07:14:01,,,"['MER_00000901', 'MER_00000304', 'MER_00000169']",IP_00003589,6937.53,,,,
RING_B_0009,pattern_b_cross_merchant,7,515288,2024-07-10T09:03:21,,,"['MER_00000398', 'MER_00000683', 'MER_00000243']",IP_00001122,5195.69,,,,
RING_B_0010,pattern_b_cross_merchant,4,525729,2023-08-05T06:20:53,,,"['MER_00000367', 'MER_00000327', 'MER_00000566']",IP_00002893,5186.01,,,,
RING_B_0011,pattern_b_cross_merchant,5,195916,2024-08-25T14:32:38,,,"['MER_00001070', 'MER_00000710', 'MER_00000348']",IP_00002149,7962.22,,,,
RING_B_0012,pattern_b_cross_merchant,4,5600,2023-09-19T22:39:26,,,"['MER_00000620', 'MER_00000884', 'MER_00000171']",IP_00003289,5606.65,,,,
RING_B_0013,pattern_b_cross_merchant,9,252890,2024-02-08T16:52:32,,,"['MER_00000737', 'MER_00000300', 'MER_00000794']",IP_00002024,1379.58,,,,
RING_B_0014,pattern_b_cross_merchant,6,986147,2024-08-19T13:58:15,,,"['MER_00000082', 'MER_00000063', 'MER_00000918']",IP_00008510,6951.1,,,,
RING_B_0015,pattern_b_cross_merchant,6,892776,2023-04-25T10:58:13,,,"['MER_00000960', 'MER_00000675', 'MER_00001056']",IP_00007459,4244.74,,,,
RING_B_0016,pattern_b_cross_merchant,4,833930,2023-04-29T04:50:03,,,"['MER_00000335', 'MER_00000425', 'MER_00001070']",IP_00008497,6499.47,,,,
RING_B_0017,pattern_b_cross_merchant,8,440530,2023-05-03T21:37:29,,,"['MER_00000383', 'MER_00000920', 'MER_00000915']",IP_00000393,7480.63,,,,
RING_B_0018,pattern_b_cross_merchant,4,181494,2023-12-30T16:26:25,,,"['MER_00001082', 'MER_00000906', 'MER_00000434']",IP_00007520,5879.22,,,,
RING_B_0019,pattern_b_cross_merchant,6,841590,2023-10-09T00:16:33,,,"['MER_00000483', 'MER_00000745', 'MER_00000660']",IP_00007758,3384.39,,,,
RING_B_0020,pattern_b_cross_merchant,10,482401,2024-01-18T07:41:29,,,"['MER_00000529', 'MER_00000278', 'MER_00000720']",IP_00002371,1729.62,,,,
RING_B_0021,pattern_b_cross_merchant,7,875691,2023-09-30T00:14:35,,,"['MER_00000534', 'MER_00000664', 'MER_00000337']",IP_00005852,6390.46,,,,
RING_B_0022,pattern_b_cross_merchant,4,633164,2024-09-20T05:41:08,,,"['MER_00000492', 'MER_00000652', 'MER_00000729']",IP_00006495,5475.21,,,,
RING_B_0023,pattern_b_cross_merchant,4,758493,2023-04-17T05:10:48,,,"['MER_00000181', 'MER_00000217', 'MER_00000785']",IP_00005903,3612.68,,,,
RING_B_0024,pattern_b_cross_merchant,10,96361,2024-09-16T09:40:33,,,"['MER_00000240', 'MER_00000914', 'MER_00000602']",IP_00008873,5274.03,,,,
RING_B_0025,pattern_b_cross_merchant,7,788356,2024-03-28T14:47:13,,,"['MER_00001079', 'MER_00000006', 'MER_00000870']",IP_00001750,3860.12,,,,
RING_B_0026,pattern_b_cross_merchant,9,317976,2023-11-18T09:15:59,,,"['MER_00000021', 'MER_00000968', 'MER_00000256']",IP_00004847,7787.78,,,,
RING_B_0027,pattern_b_cross_merchant,10,307683,2024-10-18T05:52:12,,,"['MER_00000322', 'MER_00000786', 'MER_00000629']",IP_00004387,3582.84,,,,
RING_B_0028,pattern_b_cross_merchant,7,469788,2023-03-27T21:25:57,,,"['MER_00000631', 'MER_00000346', 'MER_00000462']",IP_00001074,5423.44,,,,
RING_B_0029,pattern_b_cross_merchant,4,619673,2024-12-10T22:16:24,,,"['MER_00000682', 'MER_00000843', 'MER_00000669']",IP_00003097,6220.8,,,,
RING_B_0030,pattern_b_cross_merchant,4,41775,2024-06-11T07:18:27,,,"['MER_00000286', 'MER_00000242', 'MER_00001043']",IP_00002459,1811.68,,,,
RING_B_0031,pattern_b_cross_merchant,9,162065,2024-02-26T14:39:54,,,"['MER_00000350', 'MER_00000029', 'MER_00000722']",IP_00006310,7829.77,,,,
RING_B_0032,pattern_b_cross_merchant,9,223014,2024-03-26T19:01:58,,,"['MER_00000681', 'MER_00000316', 'MER_00000946']",IP_00002352,5717.18,,,,
RING_B_0033,pattern_b_cross_merchant,6,758642,2024-06-11T10:42:37,,,"['MER_00000890', 'MER_00001042', 'MER_00000091']",IP_00005421,6325.71,,,,
RING_B_0034,pattern_b_cross_merchant,10,318137,2024-10-06T18:34:30,,,"['MER_00000757', 'MER_00000080', 'MER_00000632']",IP_00005710,2203.2,,,,
RING_B_0035,pattern_b_cross_merchant,10,222621,2023-09-29T15:40:19,,,"['MER_00000146', 'MER_00000382', 'MER_00000388']",IP_00008505,4621.46,,,,
RING_B_0036,pattern_b_cross_merchant,10,886936,2024-06-08T05:21:38,,,"['MER_00000544', 'MER_00000927', 'MER_00000169']",IP_00001046,6298.7,,,,
RING_B_0037,pattern_b_cross_merchant,9,358354,2024-08-27T22:23:23,,,"['MER_00000151', 'MER_00000692', 'MER_00000223']",IP_00007345,7296.09,,,,
RING_B_0038,pattern_b_cross_merchant,7,590642,2024-06-02T09:44:29,,,"['MER_00000290', 'MER_00000199', 'MER_00000656']",IP_00002869,5572.52,,,,
RING_B_0039,pattern_b_cross_merchant,9,258007,2024-07-26T09:19:32,,,"['MER_00001043', 'MER_00000684', 'MER_00000234']",IP_00005453,3590.44,,,,
RING_B_0040,pattern_b_cross_merchant,10,682737,2023-12-17T10:52:07,,,"['MER_00000818', 'MER_00000011', 'MER_00000112']",IP_00003613,3837.67,,,,
RING_B_0041,pattern_b_cross_merchant,8,899859,2024-04-17T13:46:30,,,"['MER_00000243', 'MER_00001079', 'MER_00000356']",IP_00002330,479.03,,,,
RING_B_0042,pattern_b_cross_merchant,5,375557,2023-03-31T00:50:39,,,"['MER_00000782', 'MER_00000184', 'MER_00000483']",IP_00005731,7703.92,,,,
RING_B_0043,pattern_b_cross_merchant,9,656630,2024-03-05T04:52:52,,,"['MER_00001024', 'MER_00001030', 'MER_00000212']",IP_00006051,1199.05,,,,
RING_B_0044,pattern_b_cross_merchant,10,281374,2023-11-08T12:29:31,,,"['MER_00000854', 'MER_00000463', 'MER_00000985']",IP_00002291,7968.98,,,,
RING_B_0045,pattern_b_cross_merchant,7,78447,2023-02-20T04:14:39,,,"['MER_00000980', 'MER_00000776', 'MER_00000588']",IP_00001641,6257.02,,,,
RING_B_0046,pattern_b_cross_merchant,10,831104,2023-05-05T02:41:22,,,"['MER_00001047', 'MER_00000424', 'MER_00000995']",IP_00000430,1943.33,,,,
RING_B_0047,pattern_b_cross_merchant,8,333838,2023-05-07T19:28:46,,,"['MER_00000299', 'MER_00000384', 'MER_00000416']",IP_00008454,6132.91,,,,
RING_B_0048,pattern_b_cross_merchant,7,633881,2023-10-12T10:54:49,,,"['MER_00000162', 'MER_00000676', 'MER_00000993']",IP_00000465,5642.03,,,,
RING_B_0049,pattern_b_cross_merchant,10,32015,2023-07-02T09:20:10,,,"['MER_00000413', 'MER_00001074', 'MER_00000680']",IP_00005841,7825.39,,,,
RING_C_0000,pattern_c_rotating_account,6,833523,,,MER_00001008,,,,2023-04-16T23:52:34,IP_00003681,INS_00004795,"['CUS_RING_C_0000_000', 'CUS_RING_C_0000_001', 'CUS_RING_C_0000_002', 'CUS_RING_C_0000_003', 'CUS_RING_C_0000_004', 'CUS_RING_C_0000_005']"
RING_C_0001,pattern_c_rotating_account,5,591250,,,MER_00000207,,,,2023-10-29T07:19:54,IP_00005736,INS_00006728,"['CUS_RING_C_0001_000', 'CUS_RING_C_0001_001', 'CUS_RING_C_0001_002', 'CUS_RING_C_0001_003', 'CUS_RING_C_0001_004']"
RING_C_0002,pattern_c_rotating_account,7,733996,,,MER_00000370,,,,2023-04-29T11:06:13,IP_00001422,INS_00004379,"['CUS_RING_C_0002_000', 'CUS_RING_C_0002_001', 'CUS_RING_C_0002_002', 'CUS_RING_C_0002_003', 'CUS_RING_C_0002_004', 'CUS_RING_C_0002_005', 'CUS_RING_C_0002_006']"
RING_C_0003,pattern_c_rotating_account,5,211346,,,MER_00001017,,,,2023-11-01T05:57:23,IP_00001614,INS_00008232,"['CUS_RING_C_0003_000', 'CUS_RING_C_0003_001', 'CUS_RING_C_0003_002', 'CUS_RING_C_0003_003', 'CUS_RING_C_0003_004']"
RING_C_0004,pattern_c_rotating_account,5,994332,,,MER_00000230,,,,2023-04-22T15:54:23,IP_00002298,INS_00006427,"['CUS_RING_C_0004_000', 'CUS_RING_C_0004_001', 'CUS_RING_C_0004_002', 'CUS_RING_C_0004_003', 'CUS_RING_C_0004_004']"
RING_C_0005,pattern_c_rotating_account,6,631464,,,MER_00000991,,,,2023-08-02T03:54:15,IP_00006878,INS_00016990,"['CUS_RING_C_0005_000', 'CUS_RING_C_0005_001', 'CUS_RING_C_0005_002', 'CUS_RING_C_0005_003', 'CUS_RING_C_0005_004', 'CUS_RING_C_0005_005']"
RING_C_0006,pattern_c_rotating_account,8,498435,,,MER_00000025,,,,2024-07-08T07:06:13,IP_00008439,INS_00006765,"['CUS_RING_C_0006_000', 'CUS_RING_C_0006_001', 'CUS_RING_C_0006_002', 'CUS_RING_C_0006_003', 'CUS_RING_C_0006_004', 'CUS_RING_C_0006_005', 'CUS_RING_C_0006_006', 'CUS_RING_C_0006_007']"
RING_C_0007,pattern_c_rotating_account,6,573888,,,MER_00000610,,,,2024-07-23T02:57:25,IP_00000712,INS_00012215,"['CUS_RING_C_0007_000', 'CUS_RING_C_0007_001', 'CUS_RING_C_0007_002', 'CUS_RING_C_0007_003', 'CUS_RING_C_0007_004', 'CUS_RING_C_0007_005']"
RING_C_0008,pattern_c_rotating_account,5,826612,,,MER_00000825,,,,2024-03-09T10:01:42,IP_00007254,INS_00014032,"['CUS_RING_C_0008_000', 'CUS_RING_C_0008_001', 'CUS_RING_C_0008_002', 'CUS_RING_C_0008_003', 'CUS_RING_C_0008_004']"
RING_C_0009,pattern_c_rotating_account,7,184718,,,MER_00000176,,,,2023-06-05T05:17:44,IP_00000698,INS_00003416,"['CUS_RING_C_0009_000', 'CUS_RING_C_0009_001', 'CUS_RING_C_0009_002', 'CUS_RING_C_0009_003', 'CUS_RING_C_0009_004', 'CUS_RING_C_0009_005', 'CUS_RING_C_0009_006']"
RING_C_0010,pattern_c_rotating_account,8,390494,,,MER_00000945,,,,2023-10-13T08:42:39,IP_00008826,INS_00008442,"['CUS_RING_C_0010_000', 'CUS_RING_C_0010_001', 'CUS_RING_C_0010_002', 'CUS_RING_C_0010_003', 'CUS_RING_C_0010_004', 'CUS_RING_C_0010_005', 'CUS_RING_C_0010_006', 'CUS_RING_C_0010_007']"
RING_C_0011,pattern_c_rotating_account,7,376836,,,MER_00000518,,,,2023-04-03T08:53:30,IP_00005450,INS_00002747,"['CUS_RING_C_0011_000', 'CUS_RING_C_0011_001', 'CUS_RING_C_0011_002', 'CUS_RING_C_0011_003', 'CUS_RING_C_0011_004', 'CUS_RING_C_0011_005', 'CUS_RING_C_0011_006']"
RING_C_0012,pattern_c_rotating_account,7,237652,,,MER_00000380,,,,2023-05-03T20:05:04,IP_00002139,INS_00004947,"['CUS_RING_C_0012_000', 'CUS_RING_C_0012_001', 'CUS_RING_C_0012_002', 'CUS_RING_C_0012_003', 'CUS_RING_C_0012_004', 'CUS_RING_C_0012_005', 'CUS_RING_C_0012_006']"
RING_C_0013,pattern_c_rotating_account,10,314946,,,MER_00000902,,,,2023-12-14T18:29:20,IP_00007054,INS_00002065,"['CUS_RING_C_0013_000', 'CUS_RING_C_0013_001', 'CUS_RING_C_0013_002', 'CUS_RING_C_0013_003', 'CUS_RING_C_0013_004', 'CUS_RING_C_0013_005', 'CUS_RING_C_0013_006', 'CUS_RING_C_0013_007', 'CUS_RING_C_0013_008', 'CUS_RING_C_0013_009']"
RING_C_0014,pattern_c_rotating_account,8,416134,,,MER_00000450,,,,2023-06-03T17:56:11,IP_00003118,INS_00011686,"['CUS_RING_C_0014_000', 'CUS_RING_C_0014_001', 'CUS_RING_C_0014_002', 'CUS_RING_C_0014_003', 'CUS_RING_C_0014_004', 'CUS_RING_C_0014_005', 'CUS_RING_C_0014_006', 'CUS_RING_C_0014_007']"
RING_C_0015,pattern_c_rotating_account,12,169246,,,MER_00000934,,,,2024-08-24T13:28:46,IP_00008897,INS_00016293,"['CUS_RING_C_0015_000', 'CUS_RING_C_0015_001', 'CUS_RING_C_0015_002', 'CUS_RING_C_0015_003', 'CUS_RING_C_0015_004', 'CUS_RING_C_0015_005', 'CUS_RING_C_0015_006', 'CUS_RING_C_0015_007', 'CUS_RING_C_0015_008', 'CUS_RING_C_0015_009']"
RING_C_0016,pattern_c_rotating_account,6,922348,,,MER_00000949,,,,2024-01-14T23:13:29,IP_00005821,INS_00014057,"['CUS_RING_C_0016_000', 'CUS_RING_C_0016_001', 'CUS_RING_C_0016_002', 'CUS_RING_C_0016_003', 'CUS_RING_C_0016_004', 'CUS_RING_C_0016_005']"
RING_C_0017,pattern_c_rotating_account,6,616565,,,MER_00000796,,,,2024-02-20T09:47:50,IP_00002850,INS_00008676,"['CUS_RING_C_0017_000', 'CUS_RING_C_0017_001', 'CUS_RING_C_0017_002', 'CUS_RING_C_0017_003', 'CUS_RING_C_0017_004', 'CUS_RING_C_0017_005']"
RING_C_0018,pattern_c_rotating_account,12,660695,,,MER_00000531,,,,2024-08-26T20:40:41,IP_00008207,INS_00000425,"['CUS_RING_C_0018_000', 'CUS_RING_C_0018_001', 'CUS_RING_C_0018_002', 'CUS_RING_C_0018_003', 'CUS_RING_C_0018_004', 'CUS_RING_C_0018_005', 'CUS_RING_C_0018_006', 'CUS_RING_C_0018_007', 'CUS_RING_C_0018_008', 'CUS_RING_C_0018_009']"
RING_C_0019,pattern_c_rotating_account,10,966594,,,MER_00000699,,,,2023-08-31T16:13:30,IP_00007425,INS_00003964,"['CUS_RING_C_0019_000', 'CUS_RING_C_0019_001', 'CUS_RING_C_0019_002', 'CUS_RING_C_0019_003', 'CUS_RING_C_0019_004', 'CUS_RING_C_0019_005', 'CUS_RING_C_0019_006', 'CUS_RING_C_0019_007', 'CUS_RING_C_0019_008', 'CUS_RING_C_0019_009']"
RING_C_0020,pattern_c_rotating_account,7,993964,,,MER_00000470,,,,2024-05-10T19:20:53,IP_00001356,INS_00000487,"['CUS_RING_C_0020_000', 'CUS_RING_C_0020_001', 'CUS_RING_C_0020_002', 'CUS_RING_C_0020_003', 'CUS_RING_C_0020_004', 'CUS_RING_C_0020_005', 'CUS_RING_C_0020_006']"
RING_C_0021,pattern_c_rotating_account,12,420661,,,MER_00000388,,,,2023-04-05T10:09:52,IP_00005307,INS_00017954,"['CUS_RING_C_0021_000', 'CUS_RING_C_0021_001', 'CUS_RING_C_0021_002', 'CUS_RING_C_0021_003', 'CUS_RING_C_0021_004', 'CUS_RING_C_0021_005', 'CUS_RING_C_0021_006', 'CUS_RING_C_0021_007', 'CUS_RING_C_0021_008', 'CUS_RING_C_0021_009', 'CUS_RING_C_0021_010', 'CUS_RING_C_0021_011']"
RING_C_0022,pattern_c_rotating_account,12,926974,,,MER_00000546,,,,2024-01-20T14:39:29,IP_00005137,INS_00004196,"['CUS_RING_C_0022_000', 'CUS_RING_C_0022_001', 'CUS_RING_C_0022_002', 'CUS_RING_C_0022_003', 'CUS_RING_C_0022_004', 'CUS_RING_C_0022_005', 'CUS_RING_C_0022_006', 'CUS_RING_C_0022_007', 'CUS_RING_C_0022_008', 'CUS_RING_C_0022_009', 'CUS_RING_C_0022_010', 'CUS_RING_C_0022_011']"
RING_C_0023,pattern_c_rotating_account,5,316188,,,MER_00000011,,,,2023-12-28T11:26:37,IP_00005646,INS_00007406,"['CUS_RING_C_0023_000', 'CUS_RING_C_0023_001', 'CUS_RING_C_0023_002', 'CUS_RING_C_0023_003', 'CUS_RING_C_0023_004']"
RING_C_0024,pattern_c_rotating_account,10,751969,,,MER_00000215,,,,2023-04-06T11:57:23,IP_00003543,INS_00012883,"['CUS_RING_C_0024_000', 'CUS_RING_C_0024_001', 'CUS_RING_C_0024_002', 'CUS_RING_C_0024_003', 'CUS_RING_C_0024_004', 'CUS_RING_C_0024_005', 'CUS_RING_C_0024_006', 'CUS_RING_C_0024_007', 'CUS_RING_C_0024_008', 'CUS_RING_C_0024_009']"
RING_C_0025,pattern_c_rotating_account,12,151537,,,MER_00000411,,,,2024-07-04T05:28:13,IP_00007613,INS_00004766,"['CUS_RING_C_0025_000', 'CUS_RING_C_0025_001', 'CUS_RING_C_0025_002', 'CUS_RING_C_0025_003', 'CUS_RING_C_0025_004', 'CUS_RING_C_0025_005', 'CUS_RING_C_0025_006', 'CUS_RING_C_0025_007', 'CUS_RING_C_0025_008', 'CUS_RING_C_0025_009', 'CUS_RING_C_0025_010', 'CUS_RING_C_0025_011']"
RING_C_0026,pattern_c_rotating_account,10,570858,,,MER_00001069,,,,2024-02-22T13:11:47,IP_00000726,INS_00000901,"['CUS_RING_C_0026_000', 'CUS_RING_C_0026_001', 'CUS_RING_C_0026_002', 'CUS_RING_C_0026_003', 'CUS_RING_C_0026_004', 'CUS_RING_C_0026_005', 'CUS_RING_C_0026_006', 'CUS_RING_C_0026_007', 'CUS_RING_C_0026_008', 'CUS_RING_C_0026_009']"
RING_C_0027,pattern_c_rotating_account,6,113476,,,MER_00000452,,,,2023-08-14T14:00:56,IP_00007591,INS_00003890,"['CUS_RING_C_0027_000', 'CUS_RING_C_0027_001', 'CUS_RING_C_0027_002', 'CUS_RING_C_0027_003', 'CUS_RING_C_0027_004', 'CUS_RING_C_0027_005']"
RING_C_0028,pattern_c_rotating_account,5,375881,,,MER_00000818,,,,2024-08-29T23:18:46,IP_00002423,INS_00010244,"['CUS_RING_C_0028_000', 'CUS_RING_C_0028_001', 'CUS_RING_C_0028_002', 'CUS_RING_C_0028_003', 'CUS_RING_C_0028_004']"
RING_C_0029,pattern_c_rotating_account,10,965189,,,MER_00000518,,,,2024-06-26T07:37:53,IP_00001115,INS_00012901,"['CUS_RING_C_0029_000', 'CUS_RING_C_0029_001', 'CUS_RING_C_0029_002', 'CUS_RING_C_0029_003', 'CUS_RING_C_0029_004', 'CUS_RING_C_0029_005', 'CUS_RING_C_0029_006', 'CUS_RING_C_0029_007', 'CUS_RING_C_0029_008', 'CUS_RING_C_0029_009']"
RING_C_0030,pattern_c_rotating_account,5,606923,,,MER_00000017,,,,2024-08-27T18:01:15,IP_00003041,INS_00000870,"['CUS_RING_C_0030_000', 'CUS_RING_C_0030_001', 'CUS_RING_C_0030_002', 'CUS_RING_C_0030_003', 'CUS_RING_C_0030_004']"
